day,trades,net,entry_thr,cal_net,skipped
2020-07-28,0,0.0,0.8,0.0,True
2020-07-29,0,0.0,0.8,0.0,True
2020-07-30,0,0.0,0.8,0.0,True
2020-07-31,0,0.0,0.8,0.0,True
2020-08-03,0,0.0,0.8,0.0,True
2020-08-04,0,0.0,0.8,0.0,True
2020-08-05,0,0.0,0.8,0.0,True
2020-08-06,0,0.0,0.8,150.0,False
2020-08-07,0,0.0,0.8,0.0,True
2020-08-10,3,510.326280231656,0.6,2553.0,False
2020-08-11,0,0.0,0.8,0.0,True
2020-08-12,0,0.0,0.8,0.0,True
2020-08-13,0,0.0,0.8,1286.0,False
2020-08-14,0,0.0,0.8,0.0,True
2020-08-17,0,0.0,0.8,0.0,True
2020-08-18,0,0.0,0.8,0.0,True
2020-08-19,0,0.0,0.8,0.0,True
2020-08-20,0,0.0,0.8,0.0,True
2020-08-21,0,0.0,0.8,0.0,True
2020-08-24,0,0.0,0.8,0.0,True
2020-08-25,0,0.0,0.8,0.0,True
2020-08-26,0,0.0,0.7,-297.0,True
2020-08-27,2,-30.309294040693857,0.75,77.0,False
2020-08-28,6,177.46497149956957,0.6,394.0,False
2020-08-31,3,-3338.095862238996,0.75,2030.0,False
2020-09-01,0,0.0,0.8,0.0,True
2020-09-02,0,0.0,0.8,0.0,True
2020-09-03,0,0.0,0.8,2040.0,False
2020-09-04,0,0.0,0.8,0.0,True
2020-09-07,0,0.0,0.8,0.0,True
2020-09-08,0,0.0,0.8,0.0,True
2020-09-09,0,0.0,0.8,0.0,True
2020-09-10,0,0.0,0.8,0.0,True
2020-09-11,0,0.0,0.8,0.0,True
2020-09-14,0,0.0,0.8,0.0,True
2020-09-15,0,0.0,0.8,0.0,True
2020-09-16,0,0.0,0.8,0.0,True
2020-09-17,0,0.0,0.8,0.0,True
2020-09-18,0,0.0,0.8,0.0,True
2020-09-21,0,0.0,0.8,0.0,True
2020-09-22,0,0.0,0.8,-213.0,True
2020-09-23,0,0.0,0.8,-320.0,True
2020-09-24,0,0.0,0.8,0.0,True
2020-09-25,4,140.02422579331744,0.65,738.0,False
2020-09-28,4,-2827.987122713767,0.65,2326.0,False
2020-09-29,0,0.0,0.8,242.0,False
2020-09-30,0,0.0,0.8,0.0,True
2020-10-01,2,1939.3312979607379,0.6,2041.0,False
2020-10-05,5,-7136.218132865993,0.6,1527.0,False
2020-10-06,0,0.0,0.6,139.0,False
2020-10-07,0,0.0,0.8,3026.0,False
2020-10-08,0,0.0,0.6,-300.0,True
