day,trades,net,entry_thr,cal_net,skipped
2021-01-15,0,0.0,0.8,0.0,True
2021-01-18,6,-1297.3573882394217,0.6,1433.0,False
2021-01-19,2,-2474.625184817142,0.6,509.0,False
2021-01-20,0,0.0,0.8,0.0,True
2021-01-21,0,0.0,0.8,0.0,True
2021-01-22,0,0.0,0.8,0.0,True
2021-01-25,0,0.0,0.8,0.0,True
2021-01-27,0,0.0,0.8,5668.0,False
2021-01-28,0,0.0,0.65,601.0,False
2021-01-29,0,0.0,0.8,0.0,True
2021-02-01,0,0.0,0.8,0.0,True
2021-02-02,0,0.0,0.8,0.0,True
2021-02-03,0,0.0,0.8,0.0,True
2021-02-04,0,0.0,0.75,-1308.0,True
2021-02-05,0,0.0,0.8,0.0,True
2021-02-08,0,0.0,0.8,1084.0,False
2021-02-09,0,0.0,0.6,352.0,False
2021-02-10,0,0.0,0.8,0.0,True
2021-02-11,0,0.0,0.6,-45.0,True
2021-02-12,0,0.0,0.8,0.0,True
2021-02-15,0,0.0,0.8,0.0,True
2021-02-16,0,0.0,0.8,0.0,True
2021-02-17,0,0.0,0.8,0.0,True
2021-02-18,0,0.0,0.8,0.0,True
2021-02-19,2,4600.842852623475,0.65,568.0,False
2021-02-22,0,0.0,0.8,315.0,False
2021-02-23,0,0.0,0.8,0.0,True
2021-02-24,0,0.0,0.65,-588.0,True
2021-02-25,0,0.0,0.7,4913.0,False
2021-02-26,0,0.0,0.8,0.0,True
2021-03-01,4,66.6762157122522,0.6,1532.0,False
2021-03-02,0,0.0,0.65,4334.0,False
2021-03-03,0,0.0,0.6,2317.0,False
2021-03-04,0,0.0,0.8,0.0,True
2021-03-05,0,0.0,0.8,0.0,True
2021-03-08,0,0.0,0.8,1050.0,False
2021-03-09,0,0.0,0.8,0.0,True
2021-03-10,0,0.0,0.7,193.0,False
2021-03-12,0,0.0,0.8,1021.0,False
2021-03-15,0,0.0,0.8,0.0,True
2021-03-16,0,0.0,0.8,0.0,True
2021-03-17,0,0.0,0.8,0.0,True
2021-03-18,0,0.0,0.8,0.0,True
2021-03-19,0,0.0,0.8,0.0,True
2021-03-22,0,0.0,0.65,5232.0,False
2021-03-23,0,0.0,0.8,1933.0,False
2021-03-24,0,0.0,0.8,0.0,True
2021-03-25,4,1718.6861783608165,0.75,2818.0,False
2021-03-26,6,-1473.0698283941197,0.65,4110.0,False
2021-03-30,1,1205.9426728658032,0.6,2859.0,False
2021-03-31,0,0.0,0.8,0.0,True
2021-04-01,4,-961.3632030368942,0.6,2876.0,False
2021-04-05,0,0.0,0.8,0.0,True
2021-04-06,0,0.0,0.6,1689.0,False
2021-04-07,4,-3084.25671739431,0.6,3242.0,False
2021-04-08,0,0.0,0.8,0.0,True
2021-04-09,0,0.0,0.8,0.0,True
2021-04-12,0,0.0,0.75,616.0,False
2021-04-13,1,774.1425467577948,0.6,1064.0,False
2021-04-15,0,0.0,0.8,0.0,True
2021-04-16,0,0.0,0.8,0.0,True
2021-04-19,0,0.0,0.8,0.0,True
2021-04-20,4,-2743.3140059867073,0.7,3594.0,False
2021-04-22,0,0.0,0.8,0.0,True
2021-04-23,1,304.60848592166474,0.65,43.0,False
2021-04-26,0,0.0,0.7,820.0,False
2021-04-27,0,0.0,0.8,0.0,True
2021-04-28,0,0.0,0.8,0.0,True
2021-04-29,0,0.0,0.8,0.0,True
2021-04-30,1,64.64989698856256,0.6,505.0,False
2021-05-03,0,0.0,0.8,0.0,True
2021-05-04,0,0.0,0.8,777.0,False
2021-05-05,0,0.0,0.6,2997.0,False
2021-05-06,0,0.0,0.8,0.0,True
2021-05-07,0,0.0,0.8,0.0,True
2021-05-10,0,0.0,0.8,0.0,True
2021-05-11,0,0.0,0.7,30.0,False
2021-05-12,0,0.0,0.8,0.0,True
2021-05-14,0,0.0,0.8,0.0,True
2021-05-17,0,0.0,0.8,0.0,True
2021-05-18,0,0.0,0.8,0.0,True
2021-05-19,0,0.0,0.8,0.0,True
2021-05-20,0,0.0,0.8,0.0,True
2021-05-21,1,1890.0477442632264,0.65,1464.0,False
2021-05-24,0,0.0,0.8,0.0,True
2021-05-25,0,0.0,0.8,0.0,True
2021-05-26,0,0.0,0.8,0.0,True
2021-05-27,0,0.0,0.8,0.0,True
2021-05-28,4,1187.941629436636,0.6,167.0,False
2021-05-31,0,0.0,0.7,2598.0,False
2021-06-01,0,0.0,0.8,-47.0,True
2021-06-02,0,0.0,0.8,566.0,False
2021-06-03,0,0.0,0.8,0.0,True
2021-06-04,0,0.0,0.8,0.0,True
2021-06-07,0,0.0,0.6,215.0,False
2021-06-08,2,476.8664693344071,0.7,558.0,False
2021-06-09,0,0.0,0.8,0.0,True
2021-06-10,0,0.0,0.8,0.0,True
2021-06-11,8,422.59847593989514,0.6,233.0,False
2021-06-14,6,-1140.2178723512347,0.65,1484.0,False
2021-06-15,0,0.0,0.8,0.0,True
2021-06-16,2,150.0543018491286,0.6,356.0,False
2021-06-17,8,-2481.3903190329847,0.6,1322.0,False
2021-06-18,0,0.0,0.8,0.0,True
2021-06-21,0,0.0,0.8,0.0,True
2021-06-22,0,0.0,0.8,0.0,True
2021-06-23,0,0.0,0.8,0.0,True
2021-06-24,0,0.0,0.8,0.0,True
2021-06-25,0,0.0,0.8,0.0,True
2021-06-28,0,0.0,0.8,0.0,True
2021-06-29,0,0.0,0.8,0.0,True
2021-06-30,0,0.0,0.8,0.0,True
2021-07-01,0,0.0,0.6,57.0,False
2021-07-02,1,433.5672722143886,0.65,793.0,False
2021-07-05,0,0.0,0.8,0.0,True
2021-07-06,0,0.0,0.8,0.0,True
2021-07-07,0,0.0,0.8,0.0,True
2021-07-08,7,-745.6578266799197,0.7,3197.0,False
2021-07-09,2,-1770.7441027441114,0.75,1363.0,False
2021-07-12,1,-1306.0756074821056,0.65,2655.0,False
2021-07-13,0,0.0,0.8,0.0,True
2021-07-14,0,0.0,0.65,582.0,False
2021-07-15,5,225.0628195672174,0.6,3371.0,False
2021-07-16,4,-3287.7441013857006,0.65,2618.0,False
2021-07-19,0,0.0,0.8,0.0,True
2021-07-20,0,0.0,0.8,0.0,True
2021-07-22,0,0.0,0.8,0.0,True
2021-07-23,8,1129.7790408203628,0.6,343.0,False
2021-07-26,0,0.0,0.8,0.0,True
2021-07-27,0,0.0,0.7,2437.0,False
2021-07-28,0,0.0,0.8,0.0,True
2021-07-29,0,0.0,0.8,0.0,True
2021-07-30,0,0.0,0.8,0.0,True
2021-08-02,2,469.284855163304,0.8,139.0,False
2021-08-03,0,0.0,0.8,0.0,True
2021-08-04,0,0.0,0.8,0.0,True
2021-08-05,0,0.0,0.8,0.0,True
2021-08-06,0,0.0,0.8,0.0,True
2021-08-09,4,1011.041501370126,0.6,29.0,False
2021-08-10,0,0.0,0.8,5489.0,False
2021-08-11,0,0.0,0.65,319.0,False
2021-08-12,0,0.0,0.8,0.0,True
2021-08-13,0,0.0,0.8,0.0,True
2021-08-16,0,0.0,0.8,0.0,True
2021-08-17,0,0.0,0.8,0.0,True
2021-08-18,0,0.0,0.7,788.0,False
2021-08-20,1,1478.1830578785368,0.6,455.0,False
2021-08-23,0,0.0,0.8,0.0,True
2021-08-24,0,0.0,0.8,0.0,True
2021-08-25,0,0.0,0.8,0.0,True
2021-08-26,0,0.0,0.8,0.0,True
2021-08-27,0,0.0,0.7,1064.0,False
2021-08-30,0,0.0,0.8,0.0,True
2021-08-31,0,0.0,0.8,0.0,True
2021-09-01,2,-815.0616101466919,0.6,125.0,False
2021-09-02,0,0.0,0.8,0.0,True
2021-09-03,0,0.0,0.8,0.0,True
2021-09-06,0,0.0,0.8,0.0,True
2021-09-07,0,0.0,0.7,452.0,False
2021-09-08,0,0.0,0.8,989.0,False
2021-09-09,1,-195.94310725409463,0.6,1033.0,False
2021-09-13,0,0.0,0.8,0.0,True
2021-09-14,2,-518.9011746068838,0.7,163.0,False
2021-09-15,0,0.0,0.8,445.0,False
2021-09-16,0,0.0,0.8,0.0,True
2021-09-17,0,0.0,0.8,0.0,True
2021-09-20,0,0.0,0.7,-545.0,True
2021-09-21,0,0.0,0.8,-397.0,True
2021-09-22,0,0.0,0.75,1022.0,False
2021-09-23,0,0.0,0.6,1035.0,False
2021-09-24,4,2005.5602302791574,0.6,697.0,False
2021-09-27,0,0.0,0.75,1627.0,False
2021-09-28,4,-529.4574312586377,0.8,125.0,False
2021-09-29,0,0.0,0.8,0.0,True
2021-09-30,0,0.0,0.8,0.0,True
2021-10-01,0,0.0,0.8,0.0,True
2021-10-04,0,0.0,0.8,0.0,True
2021-10-05,0,0.0,0.8,0.0,True
2021-10-06,8,-1225.2964138801008,0.6,5890.0,False
2021-10-07,0,0.0,0.8,0.0,True
2021-10-08,0,0.0,0.8,0.0,True
2021-10-11,5,458.3812395223906,0.6,1503.0,False
2021-10-12,5,578.4727678059908,0.6,5057.0,False
2021-10-13,0,0.0,0.8,0.0,True
2021-10-14,0,0.0,0.8,0.0,True
2021-10-18,0,0.0,0.8,0.0,True
2021-10-19,0,0.0,0.8,0.0,True
2021-10-20,4,-339.29803529478966,0.6,993.0,False
2021-10-21,0,0.0,0.8,0.0,True
2021-10-22,0,0.0,0.8,0.0,True
2021-10-25,0,0.0,0.8,0.0,True
2021-10-26,0,0.0,0.8,0.0,True
2021-10-27,0,0.0,0.8,0.0,True
2021-10-28,0,0.0,0.8,0.0,True
2021-10-29,0,0.0,0.8,0.0,True
