day,trades,net,entry_thr,cal_net,skipped
2020-01-15,0,0.0,0.8,0.0,True
2020-01-16,0,0.0,0.7,1107.0,False
2020-01-17,3,-377.1184200889339,0.6,249.0,False
2020-01-20,0,0.0,0.8,0.0,True
2020-01-21,8,-528.8663772745614,0.65,1585.0,False
2020-01-22,1,-55.560121043931,0.6,1573.0,False
2020-01-23,0,0.0,0.65,436.0,False
2020-01-24,0,0.0,0.8,0.0,True
2020-01-27,0,0.0,0.6,241.0,False
2020-01-28,0,0.0,0.8,0.0,True
2020-01-29,17,-2043.9678987757018,0.6,869.0,False
2020-01-30,0,0.0,0.7,1051.0,False
2020-01-31,0,0.0,0.8,0.0,True
2020-02-01,0,0.0,0.8,0.0,True
2020-02-03,0,0.0,0.8,0.0,True
2020-02-04,0,0.0,0.8,0.0,True
2020-02-05,0,0.0,0.8,0.0,True
2020-02-06,0,0.0,0.8,0.0,True
2020-02-07,0,0.0,0.8,0.0,True
2020-02-10,0,0.0,0.8,0.0,True
2020-02-11,0,0.0,0.8,0.0,True
2020-02-12,0,0.0,0.8,0.0,True
2020-02-13,0,0.0,0.8,0.0,True
2020-02-14,0,0.0,0.8,0.0,True
2020-02-17,0,0.0,0.8,0.0,True
2020-02-18,0,0.0,0.8,538.0,False
2020-02-19,0,0.0,0.65,826.0,False
2020-02-20,0,0.0,0.8,0.0,True
2020-02-24,0,0.0,0.8,0.0,True
2020-02-25,0,0.0,0.7,97.0,False
2020-02-26,0,0.0,0.8,0.0,True
2020-02-27,0,0.0,0.8,0.0,True
2020-02-28,0,0.0,0.8,0.0,True
2020-03-02,0,0.0,0.8,0.0,True
2020-03-03,0,0.0,0.8,0.0,True
2020-03-04,0,0.0,0.75,1297.0,False
2020-03-05,0,0.0,0.7,2904.0,False
2020-03-06,7,1644.3747694648653,0.6,69.0,False
2020-03-09,0,0.0,0.65,621.0,False
2020-03-11,1,-1683.6726418878095,0.65,3911.0,False
2020-03-12,0,0.0,0.8,0.0,True
2020-03-13,0,0.0,0.6,2.0,False
2020-03-16,0,0.0,0.8,0.0,True
2020-03-17,0,0.0,0.8,0.0,True
2020-03-18,12,866.5346381983278,0.6,22803.0,False
2020-03-19,3,3349.84464821097,0.65,11910.0,False
2020-03-20,0,0.0,0.8,0.0,True
2020-03-23,0,0.0,0.8,0.0,True
2020-03-24,0,0.0,0.8,0.0,True
2020-03-25,1,-1650.8801742663006,0.8,938.0,False
2020-03-26,0,0.0,0.8,0.0,True
2020-03-27,0,0.0,0.8,0.0,True
2020-03-30,1,251.57576526752092,0.7,4878.0,False
2020-03-31,0,0.0,0.8,0.0,True
2020-04-01,0,0.0,0.8,0.0,True
2020-04-03,0,0.0,0.8,0.0,True
2020-04-07,0,0.0,0.8,0.0,True
2020-04-08,0,0.0,0.8,0.0,True
2020-04-09,1,-1580.3563395159995,0.7,2785.0,False
2020-04-13,0,0.0,0.65,1195.0,False
2020-04-15,0,0.0,0.8,0.0,True
2020-04-16,2,471.25923594169933,0.6,219.0,False
2020-04-17,1,-53.087647696696855,0.6,580.0,False
2020-04-20,0,0.0,0.8,0.0,True
2020-04-21,0,0.0,0.8,0.0,True
2020-04-22,0,0.0,0.7,739.0,False
2020-04-23,0,0.0,0.8,0.0,True
2020-04-24,4,-1970.1022992080893,0.7,2559.0,False
2020-04-27,0,0.0,0.8,0.0,True
2020-04-28,0,0.0,0.8,0.0,True
2020-04-29,0,0.0,0.75,136.0,False
2020-04-30,0,0.0,0.8,0.0,True
2020-05-04,0,0.0,0.6,1650.0,False
2020-05-05,0,0.0,0.8,0.0,True
2020-05-06,0,0.0,0.6,851.0,False
2020-05-07,0,0.0,0.8,0.0,True
2020-05-08,0,0.0,0.65,-93.0,True
2020-05-11,18,-342.8789863836896,0.6,632.0,False
2020-05-12,0,0.0,0.8,70.0,False
2020-05-13,0,0.0,0.8,0.0,True
2020-05-14,0,0.0,0.8,0.0,True
2020-05-15,6,-588.1404769265774,0.7,416.0,False
2020-05-18,0,0.0,0.8,0.0,True
2020-05-19,1,-995.7589466499735,0.7,1344.0,False
2020-05-20,2,-104.38516021134328,0.6,124.0,False
2020-05-21,0,0.0,0.8,0.0,True
2020-05-22,0,0.0,0.8,0.0,True
2020-05-26,0,0.0,0.8,0.0,True
2020-05-27,0,0.0,0.8,0.0,True
2020-05-28,1,229.90313526672927,0.65,2176.0,False
2020-05-29,0,0.0,0.8,0.0,True
2020-06-01,0,0.0,0.8,-393.0,True
2020-06-02,0,0.0,0.8,0.0,True
2020-06-03,0,0.0,0.8,0.0,True
2020-06-04,0,0.0,0.8,0.0,True
2020-06-05,0,0.0,0.8,0.0,True
2020-06-08,0,0.0,0.8,0.0,True
2020-06-09,0,0.0,0.8,0.0,True
2020-06-10,0,0.0,0.8,0.0,True
2020-06-11,0,0.0,0.8,0.0,True
2020-06-12,0,0.0,0.8,0.0,True
2020-06-15,0,0.0,0.8,0.0,True
2020-06-16,0,0.0,0.8,0.0,True
2020-06-17,0,0.0,0.8,0.0,True
2020-06-18,0,0.0,0.8,0.0,True
2020-06-19,0,0.0,0.8,0.0,True
2020-06-22,0,0.0,0.8,0.0,True
2020-06-23,0,0.0,0.8,0.0,True
2020-06-24,0,0.0,0.8,0.0,True
2020-06-25,0,0.0,0.8,200.0,False
2020-06-26,0,0.0,0.8,0.0,True
2020-06-29,0,0.0,0.8,0.0,True
2020-06-30,0,0.0,0.8,-624.0,True
2020-07-01,0,0.0,0.8,0.0,True
2020-07-02,0,0.0,0.8,0.0,True
2020-07-03,0,0.0,0.8,0.0,True
2020-07-06,0,0.0,0.8,0.0,True
2020-07-07,2,990.6796901632538,0.8,666.0,False
2020-07-08,5,-197.96808691733264,0.6,2670.0,False
