day,trades,net,entry_thr,cal_net,skipped
2020-01-15,0,0.0,0.8,-20.0,True
2020-01-16,0,0.0,0.8,923.0,False
2020-01-17,0,0.0,0.65,-126.0,True
2020-01-20,0,0.0,0.8,0.0,True
2020-01-21,0,0.0,0.8,0.0,True
2020-01-22,0,0.0,0.8,0.0,True
2020-01-23,3,-25.113467103963544,0.6,947.0,False
2020-01-24,0,0.0,0.8,0.0,True
2020-01-27,0,0.0,0.8,0.0,True
2020-01-28,9,1264.2112357153696,0.6,3272.0,False
2020-01-29,8,-825.3769860390066,0.6,4659.0,False
2020-01-30,0,0.0,0.8,0.0,True
2020-01-31,0,0.0,0.8,0.0,True
2020-02-01,9,-4655.369690950282,0.6,873.0,False
2020-02-03,1,-820.6155041053438,0.8,1012.0,False
2020-02-04,0,0.0,0.7,1482.0,False
2020-02-05,0,0.0,0.8,0.0,True
2020-02-06,0,0.0,0.8,-83.0,True
2020-02-07,0,0.0,0.8,0.0,True
2020-02-10,0,0.0,0.8,0.0,True
2020-02-11,0,0.0,0.8,0.0,True
2020-02-12,1,-449.7790857368856,0.8,1109.0,False
2020-02-13,9,-1128.0513415565629,0.6,786.0,False
2020-02-14,0,0.0,0.8,0.0,True
