day,trades,net,entry_thr,cal_net,skipped
2020-01-15,0,0.0,0.8,0.0,True
2020-01-16,2,342.8823173468073,0.7,1063.0,False
2020-01-17,0,0.0,0.8,0.0,True
2020-01-20,0,0.0,0.8,0.0,True
2020-01-21,0,0.0,0.8,-55.0,True
2020-01-22,1,-384.9330374576002,0.6,468.0,False
2020-01-23,1,1537.2164133859017,0.6,1341.0,False
2020-01-24,13,-187.0179724616632,0.6,1365.0,False
2020-01-27,3,-761.1487020581656,0.65,739.0,False
2020-01-28,7,-556.5171753686454,0.65,1206.0,False
2020-01-29,1,314.16560980854325,0.75,238.0,False
2020-01-30,0,0.0,0.8,0.0,True
2020-01-31,0,0.0,0.8,0.0,True
2020-02-01,0,0.0,0.8,0.0,True
2020-02-03,0,0.0,0.8,0.0,True
2020-02-04,0,0.0,0.8,0.0,True
2020-02-05,0,0.0,0.8,0.0,True
2020-02-06,0,0.0,0.8,0.0,True
2020-02-07,0,0.0,0.8,0.0,True
2020-02-10,1,-150.27333464892635,0.65,596.0,False
2020-02-11,0,0.0,0.8,0.0,True
2020-02-12,0,0.0,0.8,66.0,False
2020-02-13,0,0.0,0.8,-447.0,True
2020-02-14,0,0.0,0.8,0.0,True
2020-02-17,0,0.0,0.8,0.0,True
2020-02-18,0,0.0,0.8,0.0,True
2020-02-19,3,488.7850365109713,0.7,1598.0,False
2020-02-20,0,0.0,0.8,0.0,True
2020-02-24,0,0.0,0.7,824.0,False
2020-02-25,1,291.0445177700432,0.8,296.0,False
2020-02-26,0,0.0,0.8,0.0,True
2020-02-27,0,0.0,0.8,0.0,True
2020-02-28,0,0.0,0.8,0.0,True
2020-03-02,0,0.0,0.8,0.0,True
2020-03-03,0,0.0,0.8,0.0,True
2020-03-04,2,-1289.1988677356358,0.8,2965.0,False
2020-03-05,0,0.0,0.8,-458.0,True
2020-03-06,0,0.0,0.8,0.0,True
2020-03-09,0,0.0,0.75,237.0,False
2020-03-11,0,0.0,0.8,0.0,True
2020-03-12,1,-1404.7264701526592,0.8,1555.0,False
2020-03-13,0,0.0,0.8,0.0,True
2020-03-16,0,0.0,0.8,0.0,True
2020-03-17,0,0.0,0.8,1610.0,False
2020-03-18,0,0.0,0.8,0.0,True
2020-03-19,4,2012.7229831865725,0.6,12105.0,False
2020-03-20,3,1229.8409787682735,0.65,1331.0,False
2020-03-23,8,4542.091945134172,0.6,11439.0,False
2020-03-24,3,-2954.2028262177355,0.8,8059.0,False
2020-03-25,0,0.0,0.8,0.0,True
2020-03-26,0,0.0,0.8,0.0,True
2020-03-27,0,0.0,0.6,1257.0,False
2020-03-30,0,0.0,0.8,0.0,True
2020-03-31,5,-3937.426804037391,0.65,12165.0,False
2020-04-01,0,0.0,0.8,0.0,True
2020-04-03,0,0.0,0.8,0.0,True
2020-04-07,0,0.0,0.8,0.0,True
2020-04-08,0,0.0,0.8,0.0,True
2020-04-09,0,0.0,0.8,0.0,True
2020-04-13,0,0.0,0.8,0.0,True
2020-04-15,0,0.0,0.8,0.0,True
2020-04-16,0,0.0,0.8,0.0,True
2020-04-17,0,0.0,0.8,0.0,True
2020-04-20,0,0.0,0.8,0.0,True
2020-04-21,0,0.0,0.8,0.0,True
2020-04-22,0,0.0,0.8,0.0,True
2020-04-23,0,0.0,0.8,0.0,True
2020-04-24,2,-1671.7493909810903,0.75,746.0,False
2020-04-27,0,0.0,0.8,0.0,True
2020-04-28,0,0.0,0.8,0.0,True
2020-04-29,0,0.0,0.8,0.0,True
2020-04-30,0,0.0,0.8,0.0,True
2020-05-04,9,1149.5431982850787,0.6,2432.0,False
2020-05-05,0,0.0,0.8,0.0,True
2020-05-06,0,0.0,0.8,0.0,True
2020-05-07,0,0.0,0.7,2598.0,False
2020-05-08,0,0.0,0.8,0.0,True
2020-05-11,0,0.0,0.6,95.0,False
2020-05-12,0,0.0,0.8,0.0,True
2020-05-13,10,-2930.312694652181,0.65,3858.0,False
2020-05-14,0,0.0,0.8,0.0,True
2020-05-15,0,0.0,0.8,0.0,True
2020-05-18,0,0.0,0.8,0.0,True
2020-05-19,0,0.0,0.8,0.0,True
2020-05-20,5,-488.69921348524855,0.65,1620.0,False
2020-05-21,0,0.0,0.8,0.0,True
2020-05-22,0,0.0,0.8,0.0,True
2020-05-26,0,0.0,0.8,0.0,True
2020-05-27,3,-2596.847357207718,0.6,1700.0,False
2020-05-28,0,0.0,0.8,-133.0,True
