symbol,option_type,entry_time,exit_time,entry_price,exit_price,bars_held,gross,charges,pnl,test_day,entry_threshold
BANKNIFTY16JAN2031900CE,CE,2020-01-16 12:52:00,2020-01-16 13:04:00,27.0675,41.6954992389679,12,292.559984779358,48.55046043828896,244.00952434106904,2020-01-16,0.7
BANKNIFTY16JAN2031900PE,PE,2020-01-16 09:20:00,2020-01-16 09:37:00,53.9344992351532,61.346250000000005,17,148.23501529693615,49.36222229119786,98.87279300573829,2020-01-16,0.7
BANKNIFTY23JAN2031100CE,CE,2020-01-22 13:59:00,2020-01-22 14:59:00,51.0773757648468,34.26412347793579,60,-336.2650457382202,48.66799171938007,-384.9330374576002,2020-01-22,0.6
BANKNIFTY23JAN2030700CE,CE,2020-01-23 12:28:00,2020-01-23 12:55:00,202.2042469406128,281.89350608825686,27,1593.7851829528813,56.568769566979725,1537.2164133859017,2020-01-23,0.6
BANKNIFTY30JAN2031100CE,CE,2020-01-24 09:15:00,2020-01-24 09:36:00,291.0758811187744,306.93076217651367,21,317.097621154785,58.28187140354386,258.8157497512411,2020-01-24,0.6
BANKNIFTY30JAN2031100CE,CE,2020-01-24 09:45:00,2020-01-24 09:58:00,301.501875,316.6563871765137,13,303.0902435302744,58.64796199337664,244.44228153689775,2020-01-24,0.6
BANKNIFTY30JAN2031100CE,CE,2020-01-24 10:00:00,2020-01-24 10:09:00,314.73488723754883,330.82086891174316,9,321.7196334838866,59.156894832146094,262.56273865174046,2020-01-24,0.6
BANKNIFTY30JAN2031100PE,PE,2020-01-24 10:31:00,2020-01-24 10:48:00,179.19687499999998,161.595,17,-352.03749999999957,53.35684243825,-405.39434243824957,2020-01-24,0.6
BANKNIFTY30JAN2031100PE,PE,2020-01-24 10:55:00,2020-01-24 11:23:00,173.58286888122558,195.31050304412844,28,434.5526832580572,54.107178681676956,380.44550457638024,2020-01-24,0.6
BANKNIFTY30JAN2031100PE,PE,2020-01-24 11:26:00,2020-01-24 11:31:00,190.6754969406128,199.4501219558716,5,175.49250030517612,54.42022109019723,121.07227921497889,2020-01-24,0.6
BANKNIFTY30JAN2031100PE,PE,2020-01-24 11:35:00,2020-01-24 12:00:00,190.22437499999998,183.19086891174317,25,-140.6701217651363,54.01913296431168,-194.68925472944795,2020-01-24,0.6
BANKNIFTY30JAN2031100PE,PE,2020-01-24 12:05:00,2020-01-24 12:14:00,179.09661888122557,185.08612804412843,9,119.79018325805725,53.926985698426954,65.8631975596303,2020-01-24,0.6
BANKNIFTY30JAN2031100PE,PE,2020-01-24 12:22:00,2020-01-24 12:38:00,181.5527561187744,177.15600608825685,16,-87.93500061035104,53.764610650605526,-141.69961126095657,2020-01-24,0.6
