symbol,option_type,entry_time,exit_time,entry_price,exit_price,bars_held,gross,charges,pnl,test_day
BANKNIFTY16JAN2031900CE,CE,2020-01-15 09:18:00,2020-01-15 09:23:00,152.53036888122557,140.94675304412843,5,-231.67231674194284,52.52330873317695,-284.19562547511975,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 09:26:00,2020-01-15 09:27:00,140.70088111877442,135.36074695587158,1,-106.80268325805685,52.240472131323045,-159.04315538937988,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 09:29:00,2020-01-15 09:30:00,142.9063780593872,126.433125,1,-329.4650611877441,52.0507204377086,-381.5157816254527,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 10:15:00,2020-01-15 10:16:00,105.01187499999999,102.7425,1,-45.38749999999965,51.00369300325,-96.39119300324964,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 10:58:00,2020-01-15 10:59:00,92.17987194061278,92.26875000000001,1,1.7775611877445385,50.5895140245414,-48.81195283679686,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 11:36:00,2020-01-15 11:37:00,97.6435015296936,97.00687500000001,1,-12.73253059387173,50.772640230354305,-63.505170824226035,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 11:46:00,2020-01-15 11:52:00,98.59587347030639,107.53050304412842,6,178.69259147644073,51.04044463748986,127.65214683895087,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 12:00:00,2020-01-15 12:10:00,107.3677484703064,99.35099847793579,10,-160.33499984741212,50.95046790647362,-211.28546775388574,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 12:16:00,2020-01-15 12:17:00,91.57837347030639,90.27375,1,-26.092469406127634,50.533515666145696,-76.62598507227332,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 12:19:00,2020-01-15 12:29:00,92.63100152969359,91.77000000000001,10,-17.220030593871627,50.58298728260431,-67.80301787647593,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 12:47:00,2020-01-15 12:50:00,92.07962347030639,91.52062500000001,3,-11.179969406127555,50.570071484395704,-61.75004089052326,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 12:55:00,2020-01-15 13:02:00,92.33024847030639,94.7625,7,48.64503059387232,50.652039219895705,-2.007008626023385,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 13:16:00,2020-01-15 13:24:00,93.5833734703064,91.47074695587159,8,-42.252530288696164,50.58754025930154,-92.8400705479977,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 13:27:00,2020-01-15 13:32:00,82.65612194061279,87.73012195587158,5,101.48000030517579,50.360798990947245,51.11920131422855,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 13:41:00,2020-01-15 13:48:00,78.39549694061279,67.87987804412842,7,-210.3123779296874,49.82503729738557,-260.13741522707295,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 13:50:00,2020-01-15 13:55:00,66.41562499999999,66.6828734779358,5,5.344969558716173,49.647088700077916,-44.30211914136174,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 14:04:00,2020-01-15 14:05:00,70.926875,79.4009984779358,1,169.4824695587161,50.01248525082792,119.46998430788818,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 14:28:00,2020-01-15 14:32:00,101.45299694061279,96.30862804412843,4,-102.88737792968732,50.80298399788556,-153.6903619275729,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 14:36:00,2020-01-15 14:37:00,90.67612194061279,93.36599847793579,1,53.79753074646004,50.597521069119324,3.2000096773407165,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 14:40:00,2020-01-15 14:45:00,95.43799694061279,96.8572484779358,5,28.38503074646013,50.74160046786932,-22.356569721409187,2020-01-15
BANKNIFTY16JAN2031900CE,CE,2020-01-15 15:16:00,2020-01-15 15:24:00,127.91899847030639,129.924375,8,40.10753059387213,51.949442997145695,-11.841912403273568,2020-01-15
BANKNIFTY16JAN2031900PE,PE,2020-01-15 09:20:00,2020-01-15 09:22:00,183.60786888122558,184.13850608825683,2,10.612744140624955,53.95998208652112,-43.34723794589617,2020-01-15
BANKNIFTY16JAN2031900PE,PE,2020-01-15 09:24:00,2020-01-15 09:34:00,179.698125,205.6844969558716,10,519.7274391174318,54.435485055905836,465.291954061526,2020-01-15
BANKNIFTY16JAN2031900PE,PE,2020-01-15 09:39:00,2020-01-15 09:49:00,206.0638780593872,217.4051219558716,10,226.824877929688,55.04813041986444,171.77674750982356,2020-01-15
BANKNIFTY16JAN2031900PE,PE,2020-01-15 09:50:00,2020-01-15 09:54:00,217.8432530593872,213.66449695587158,4,-83.5751220703122,55.10348719686444,-138.67860926717665,2020-01-15
